JMEStatus,IndicatorCode,Indicator,StandardDisaggregations,ISO3Code,M49,Country,ShortSource,Survey_years,Year,UNICEFSurveyID,WHOSurveyID,EstimateType,PointEstimate,StandardError,LowerLimit,UpperLimit,weighted_N,unweighted_N,StandardFootnotes,ExtendedDisplayFootnotes,ReportAuthorProvider,FullSourceTitle
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,BTN,64,Bhutan,NNS,2008,2008,67,02967,Reanalyzed,0,NA,0,0,5,5,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",NA,"Ministry of Health, National Statistics Bureau and Centre for Research Initiative.","National Nutrition, Infant & Young Child Feeding Survey 2008. Thimphu, Bhutan: Ministry of Health and UN."
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,BTN,64,Bhutan,NNS,2008,2008,67,02967,Reanalyzed,25,21.761950850486755,3.2228149473667145,76.94008946418762,4,4,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",NA,"Ministry of Health, National Statistics Bureau and Centre for Research Initiative.","National Nutrition, Infant & Young Child Feeding Survey 2008. Thimphu, Bhutan: Ministry of Health and UN."
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,36 to 47 months,BOL,68,Bolivia (Plurinational State of),DHS,1993-1994,1994,74,01359,Reanalyzed,100,NA,NA,NA,1.3339279890060425,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-36 months; unadjusted,Ministerio de Desarrollo Sostenible y Medio Ambiente.,"Encuesta nacional de demografia y salud 1994. Demographic and Health Surveys. La Paz, Bolivia, 1994"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 36 to 47 months,BOL,68,Bolivia (Plurinational State of),DHS,1993-1994,1994,74,01359,Reanalyzed,100,NA,NA,NA,1.3339279890060425,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-36 months; unadjusted,Ministerio de Desarrollo Sostenible y Medio Ambiente.,"Encuesta nacional de demografia y salud 1994. Demographic and Health Surveys. La Paz, Bolivia, 1994"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,6 to 11 months,BGR,100,Bulgaria,NNS,2004,2004,90,02768,Reanalyzed,0,NA,0,0,0,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",Age interval 12-59 months; unadjusted,National Center of Public Health and Analyses (Bulgaria),"National survey of dietary intake and nutritional status of Bulgarian population, 2004. Department of Nutrition and Public Health, National Center of Public Health Protection, Sofia, Bulgaria"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 6 to 11 months,BGR,100,Bulgaria,NNS,2004,2004,90,02768,Reanalyzed,0,NA,0,0,0,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",Age interval 12-59 months; unadjusted,National Center of Public Health and Analyses (Bulgaria),"National survey of dietary intake and nutritional status of Bulgarian population, 2004. Department of Nutrition and Public Health, National Center of Public Health Protection, Sofia, Bulgaria"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,BDI,108,Burundi,MICS,2000,2000,100,02360,Reanalyzed,0,NA,0,0,1,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",NA,Institut de Statistique et d'Etudes Economiques du Burundi.,"Enquête nationale d'evaluation des conditions de vie de l'enfant et de la femme au Burundi (ENECEF-BURUNDI 2000): Rapport final (MICS). Bujumbura: République du Burundi and UNICEF, 2001"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,BDI,108,Burundi,MICS,2000,2000,100,02360,Reanalyzed,0,NA,0,0,1,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",NA,Institut de Statistique et d'Etudes Economiques du Burundi.,"Enquête nationale d'evaluation des conditions de vie de l'enfant et de la femme au Burundi (ENECEF-BURUNDI 2000): Rapport final (MICS). Bujumbura: République du Burundi and UNICEF, 2001"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,36 to 47 months,CMR,120,Cameroon,DHS,1998,1998,112,01928,Reanalyzed,100,NA,NA,NA,0.560588002204895,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-36 months; unadjusted,"Fotso M, Ndonou R, Libité PR, Tsafack M, Wakou R, Ghapoutsa A, et al.","Enquete démographique et de santé, Cameroun 1998. Demographic and Health Surveys. Calverton, Maryland, U.S.A. : Bureau Central des Recensements et des Études de Population et Macro International Inc., 1999"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 36 to 47 months,CMR,120,Cameroon,DHS,1998,1998,112,01928,Reanalyzed,100,NA,NA,NA,0.560588002204895,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-36 months; unadjusted,"Fotso M, Ndonou R, Libité PR, Tsafack M, Wakou R, Ghapoutsa A, et al.","Enquete démographique et de santé, Cameroun 1998. Demographic and Health Surveys. Calverton, Maryland, U.S.A. : Bureau Central des Recensements et des Études de Population et Macro International Inc., 1999"
