ISO,country,HIC2019
AND,Andorra,H
ARE,United Arab Emirates,H
AUS,Australia,H
AUT,Austria,H
BEL,Belgium,H
BHR,Bahrain,H
BHS,"Bahamas, The",H
BMU,Bermuda,H
BRB,Barbados,H
BRN,Brunei Darussalam,H
CAN,Canada,H
CHE,Switzerland,H
CYP,Cyprus,H
CZE,Czech Republic,H
DEU,Germany,H
DNK,Denmark,H
ESP,Spain,H
EST,Estonia,H
FIN,Finland,H
FRA,France,H
GBR,United Kingdom,H
GRC,Greece,H
GRL,Greenland,H
GUM,Guam,H
HRV,Croatia,H
IRL,Ireland,H
ISL,Iceland,H
ISR,Israel,H
ITA,Italy,H
JPN,Japan,H
KNA,St. Kitts and Nevis,H
KOR,"Korea, Rep.",H
KWT,Kuwait,H
LIE,Liechtenstein,H
LUX,Luxembourg,H
MCO,Monaco,H
MLT,Malta,H
MNP,Northern Mariana Islands,H
NLD,Netherlands,H
NOR,Norway,H
NZL,New Zealand,H
OMN,Oman,H
POL,Poland,H
PRI,Puerto Rico,H
PRT,Portugal,H
QAT,Qatar,H
SAU,Saudi Arabia,H
SGP,Singapore,H
SMR,San Marino,H
SVK,Slovak Republic,H
SVN,Slovenia,H
SWE,Sweden,H
TCA,Turks and Caicos Islands,H
TTO,Trinidad and Tobago,H
TWN,"Taiwan, China",H
USA,United States,H
