ISO.code,country,Country,region_west,region_W_SSE,region_W_SAE,region_west_HIW,region_W_SSE_HIW,region_W_SAE_HIW,region_west_MDR,region_W_SSE_MDR,region_W_SAE_MDR,region_west_south,region_west_south_HIW,All_africa_HIW
AFG,AFGHANISTAN,Afghanistan,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH ASIA,SOUTH ASIA
AGO,ANGOLA,Angola,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,Central Africa
ALB,ALBANIA,Albania,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
AND,ANDORRA,Andorra,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
ARE,UNITED ARAB EMIRATES,United Arab Emirates,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA
ARG,ARGENTINA,Argentina,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
ARM,ARMENIA,Armenia,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
ASM,AMERICAN SAMOA,American Samoa,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC
ATG,ANTIGUA AND BARBUDA,Antigua And Barbuda,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
AUS,AUSTRALIA,Australia,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH EASTERN ASIA AND PACIFIC,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EAST ASIA AND PACIFIC,High-income Western countries,High-income Western countries
AUT,AUSTRIA,Austria,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
AZE,AZERBAIJAN,Azerbaijan,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
BDI,BURUNDI,Burundi,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,East Africa
BEL,BELGIUM,Belgium,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
BEN,BENIN,Benin,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,SOUTH AND WEST AFRICA,WEST AFRICA,West Africa
BFA,BURKINA FASO,Burkina Faso,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,SOUTH AND WEST AFRICA,WEST AFRICA,West Africa
BGD,BANGLADESH,Bangladesh,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH ASIA,SOUTH ASIA
BGR,BULGARIA,Bulgaria,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
BHR,BAHRAIN,Bahrain,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA
BHS,BAHAMAS,Bahamas,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
BIH,BOSNIA AND HERZEGOVINA,Bosnia And Herzegovina,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
BLR,BELARUS,Belarus,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
BLZ,BELIZE,Belize,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
BMU,BERMUDA,Bermuda,NORTH AMERICA,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
BOL,BOLIVIA (PLURINATIONAL STATE OF),Bolivia (plurinational State Of),LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
BRA,BRAZIL,Brazil,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
BRB,BARBADOS,Barbados,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
BRN,BRUNEI DARUSSALAM,Brunei Darussalam,EAST ASIA AND PACIFIC,SOUTH AND SOUTH EASTERN ASIA,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH AND SOUTH EASTERN ASIA,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH AND SOUTH EASTERN ASIA,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC
BTN,BHUTAN,Bhutan,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH ASIA,SOUTH ASIA
BWA,BOTSWANA,Botswana,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,SOUTH AND WEST AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,Southern Africa
CAF,CENTRAL AFRICAN REPUBLIC,Central African Republic,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,Central Africa
CAN,CANADA,Canada,NORTH AMERICA,NORTH AMERICA,NORTH AMERICA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,NORTH AMERICA,High-income Western countries,High-income Western countries
CHE,SWITZERLAND,Switzerland,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
CHL,CHILE,Chile,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
CHN,CHINA,China,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH AND EAST ASIA,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH AND EAST ASIA,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH AND EAST ASIA,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC
CIV,CÔTE D'IVOIRE,Côte D'ivoire,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,SOUTH AND WEST AFRICA,WEST AFRICA,West Africa
CMR,CAMEROON,Cameroon,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,West Africa
COD,DEMOCRATIC REPUBLIC OF THE CONGO,Democratic Republic Of The Congo,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,Central Africa
COG,CONGO,Congo,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,Central Africa
COK,COOK ISLANDS,Cook Islands,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,SOUTH EASTERN ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC,EAST ASIA AND PACIFIC
COL,COLOMBIA,Colombia,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
COM,COMOROS,Comoros,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,East Africa
CPV,CABO VERDE,Cabo Verde,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,SOUTH AND WEST AFRICA,WEST AFRICA,West Africa
CRI,COSTA RICA,Costa Rica,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
CUB,CUBA,Cuba,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
CYP,CYPRUS,Cyprus,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
CZE,CZECHIA,Czechia,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
DEU,GERMANY,Germany,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
DJI,DJIBOUTI,Djibouti,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,East Africa
DMA,DOMINICA,Dominica,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
DNK,DENMARK,Denmark,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
DOM,DOMINICAN REPUBLIC,Dominican Republic,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
DZA,ALGERIA,Algeria,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA
ECU,ECUADOR,Ecuador,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
EGY,EGYPT,Egypt,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA
ERI,ERITREA,Eritrea,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,East Africa
ESP,SPAIN,Spain,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
EST,ESTONIA,Estonia,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
ETH,ETHIOPIA,Ethiopia,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN AND MIDDLE AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,East Africa
